source_url,final_url,source_path,source_query,classification,locale,crawl_status,http_status,decision_gate,disposition,target_action,target_path,canonical_path,include_in_sitemap,case_collision_id
https://www.robbewulgaert.be/onderwijs/duik-met-ai-de-geschiedenis-in,https://www.robbewulgaert.be/onderwijs/duik-met-ai-de-geschiedenis-in,/onderwijs/duik-met-ai-de-geschiedenis-in,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/duik-met-ai-de-geschiedenis-in,/onderwijs/duik-met-ai-de-geschiedenis-in,true,
https://www.robbewulgaert.be/onderwijs/grieks-minecraft-akropolis-avontuur,https://www.robbewulgaert.be/onderwijs/grieks-minecraft-akropolis-avontuur,/onderwijs/grieks-minecraft-akropolis-avontuur,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/grieks-minecraft-akropolis-avontuur,/onderwijs/grieks-minecraft-akropolis-avontuur,true,
https://www.robbewulgaert.be/onderwijs/handvat-voor-lesmateriaal,https://www.robbewulgaert.be/onderwijs/handvat-voor-lesmateriaal,/onderwijs/handvat-voor-lesmateriaal,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/handvat-voor-lesmateriaal,/onderwijs/handvat-voor-lesmateriaal,true,
https://www.robbewulgaert.be/onderwijs/het-digitale-dilemma,https://www.robbewulgaert.be/onderwijs/het-digitale-dilemma,/onderwijs/het-digitale-dilemma,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/het-digitale-dilemma,/onderwijs/het-digitale-dilemma,true,
https://www.robbewulgaert.be/onderwijs/hey-siri-kloon-mijn-stem,https://www.robbewulgaert.be/onderwijs/hey-siri-kloon-mijn-stem,/onderwijs/hey-siri-kloon-mijn-stem,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/hey-siri-kloon-mijn-stem,/onderwijs/hey-siri-kloon-mijn-stem,true,
https://www.robbewulgaert.be/onderwijs/hey-siri-kloon-mijn-stem-2025,https://www.robbewulgaert.be/onderwijs/hey-siri-kloon-mijn-stem-2025,/onderwijs/hey-siri-kloon-mijn-stem-2025,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/hey-siri-kloon-mijn-stem-2025,/onderwijs/hey-siri-kloon-mijn-stem-2025,true,
https://www.robbewulgaert.be/onderwijs/html-in-de-klas,https://www.robbewulgaert.be/onderwijs/html-in-de-klas,/onderwijs/html-in-de-klas,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/html-in-de-klas,/onderwijs/html-in-de-klas,true,
https://www.robbewulgaert.be/onderwijs/in-dialoog-met-ai,https://www.robbewulgaert.be/onderwijs/in-dialoog-met-ai,/onderwijs/in-dialoog-met-ai,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/in-dialoog-met-ai,/onderwijs/in-dialoog-met-ai,true,
https://www.robbewulgaert.be/onderwijs/interview-ai-op-een-college,https://www.robbewulgaert.be/onderwijs/interview-ai-op-een-college,/onderwijs/interview-ai-op-een-college,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/interview-ai-op-een-college,/onderwijs/interview-ai-op-een-college,true,
https://www.robbewulgaert.be/onderwijs/interview-met-de-geschiedenis,https://www.robbewulgaert.be/onderwijs/interview-met-de-geschiedenis,/onderwijs/interview-met-de-geschiedenis,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/interview-met-de-geschiedenis,/onderwijs/interview-met-de-geschiedenis,true,
